Timestamp,ForceN,PositionZ,StoppedByForceSensor
2026-03-18T10:45:48.110,-0.0,25.00161,0
2026-03-18T10:45:49.210,-0.0,25.00161,0
2026-03-18T10:45:49.310,-0.009810001,25.00161,0
2026-03-18T10:45:49.411,-0.009810001,25.00161,0
2026-03-18T10:45:49.511,-0.0,25.00161,0
2026-03-18T10:45:49.626,-0.019620001,25.00161,0
2026-03-18T10:45:49.726,-0.009810001,25.00161,0
2026-03-18T10:45:49.826,-0.0,25.00161,0
2026-03-18T10:45:49.927,0.0,25.00161,0
2026-03-18T10:45:49.043,-0.009810001,25.00161,0
2026-03-18T10:45:49.143,-0.009810001,25.00161,0
2026-03-18T10:45:50.244,-0.009810001,25.00161,0
2026-03-18T10:45:50.345,-0.009810001,25.00161,0
2026-03-18T10:45:50.454,-0.009810001,25.00161,0
2026-03-18T10:45:50.571,-0.0,25.00161,0
2026-03-18T10:45:50.683,-0.0,25.00161,0
2026-03-18T10:45:50.800,0.0,25.00161,0
2026-03-18T10:45:50.905,0.0,25.00161,0
2026-03-18T10:45:50.020,-0.0,25.00161,0
2026-03-18T10:45:50.139,-0.009810001,25.00161,0
2026-03-18T10:45:51.266,-0.0,25.00161,0
2026-03-18T10:45:51.380,-0.009810001,25.00161,0
2026-03-18T10:45:51.487,-0.009810001,25.00161,0
2026-03-18T10:45:51.604,0.009810001,25.00161,0
2026-03-18T10:45:51.714,0.009810001,25.00161,0
2026-03-18T10:45:51.817,0.009810001,25.00161,0
2026-03-18T10:45:51.929,-0.0,25.00161,0
2026-03-18T10:45:51.035,-0.009810001,25.00161,0
2026-03-18T10:45:51.139,0.009810001,25.00161,0
2026-03-18T10:45:52.243,-0.0,25.00161,0
2026-03-18T10:45:52.359,-0.009810001,25.00161,0
2026-03-18T10:45:52.459,0.0,25.00161,0
2026-03-18T10:45:52.560,-0.0,25.00161,0
2026-03-18T10:45:52.660,-0.009810001,25.00161,0
2026-03-18T10:45:52.760,-0.019620001,25.00161,0
2026-03-18T10:45:52.876,-0.019620001,25.00161,0
2026-03-18T10:45:52.992,-0.0,25.00161,0
2026-03-18T10:45:52.109,0.0,25.00161,0
2026-03-18T10:45:53.210,-0.019620001,25.00161,0
2026-03-18T10:45:53.325,-0.28449,25.00161,0
2026-03-18T10:45:53.425,-1.4028301,25.00161,0
2026-03-18T10:45:53.526,-1.9620001,25.00161,0
2026-03-18T10:45:53.630,-2.70756,25.00161,0
2026-03-18T10:45:53.733,-3.7376103,25.00161,0
2026-03-18T10:45:53.833,-4.6793704,25.00161,0
2026-03-18T10:45:53.946,-5.8075204,25.00161,0
2026-03-18T10:45:53.063,-6.36669,25.00161,0
2026-03-18T10:45:54.176,-6.7492805,25.00161,0
2026-03-18T10:45:54.279,-7.28883,25.00161,0
2026-03-18T10:45:54.379,-7.1220603,25.00161,0
2026-03-18T10:45:54.479,-6.9454803,25.71335,0
2026-03-18T10:45:54.579,-6.7689004,25.71335,0
2026-03-18T10:45:54.682,-6.5727005,25.71335,0
2026-03-18T10:45:54.798,-6.42555,30.65888,0
2026-03-18T10:45:54.911,-6.36669,30.65888,0
2026-03-18T10:45:54.024,-6.28821,30.65888,0
2026-03-18T10:45:54.125,-6.23916,30.65888,0
2026-03-18T10:45:55.226,-5.76828,37.85799,0
2026-03-18T10:45:55.333,-5.55246,37.85799,0
2026-03-18T10:45:55.449,-5.4347405,37.85799,0
2026-03-18T10:45:55.563,-5.4739804,44.09732,0
2026-03-18T10:45:55.683,-5.28759,44.09732,0
2026-03-18T10:45:55.781,-5.3072104,44.09732,0
2026-03-18T10:45:55.893,-5.45436,52.0198,0
2026-03-18T10:45:55.008,-5.28759,52.0198,0
2026-03-18T10:45:55.124,-5.2581606,52.0198,0
